51	1	Скендерија
51	2	INTESA SANPAOLO BANKA
51	3	__NOTEXT__
51	4	__NOTEXT__
51	5	__NOTEXT__
51	6	__UNSURE__
51	7	Nikada
51	8	FIKSNE
52	1	stope u
52	2	Centrotrans
52	3	KATERA
52	4	www.katera.news
52	5	nije bila
52	6	period
52	7	niža!
52	8	__UNSURE__
53	1	K-961
53	2	NEŠKOVIĆ
53	3	SAMOUSLUŽNO PR
53	4	NEŠKOVIĆ
53	5	NEŠKOVIĆ
53	6	__UNSURE__
53	7	NEŠKOVIĆ
53	8	__NOTEXT__
54	1	ЈЕСТА
54	2	28 ЈУНА 19
54	3	4
54	4	ГОДИНЕ
54	5	ГАВРИЛО
54	6	РИНЦИП
54	7	СВ
54	8	ЈИ
55	1	ЦЊЕМ
55	2	ИЗРАЗИ
55	3	АРОДНИ
55	4	ПРОТЕСТ ПРОТИВ ТИ
55	5	РАНИЈЕ
55	6	И
55	7	ВЈЕКОВН
55	8	__UNSURE__
56	1	__NOTEXT__
56	2	SA OVOG MJESTA 28.JUNA 1914.GODINE
56	3	GAVRILO PRINCIP JE IZVRŠIO ATENTAT NA
56	4	AUSTROUGARSKOG PRESTOLONASLJEDNIK A
56	5	FRANCA FERDINANDA I NJEGOVU SUPRUGU
56	6	SOFIJU
56	7	FROM
56	8	THIS PLACE
