key	verdict	reason	licence	regions	diacritics	file	text
File:Entrance in Bosnia and Herzegovina from Croatia (Welcome sign).png	skip	too small: 216x171					
File:Direction sign BiH alt02.svg	skip	not a photo format: image/svg+xml					
File:Cigarette packet warning sign in Bosnia and Herzegovina, 2014 (cropped).jpg	skip	too small: 221x150					
File:Loose Road.jpg	skip	too small: 220x206					
File:BA road sign IV-15.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-92.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-101.2.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-109.svg	skip	not a photo format: image/svg+xml					
File:Tram crossing.jpg	skip	too small: 208x185					
File:BA road sign III-88.svg	skip	not a photo format: image/svg+xml					
File:Road narrows.jpg	skip	too small: 198x184					
File:BA road sign IV-3.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-90.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-14.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-84.2.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-112.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-12.svg	skip	not a photo format: image/svg+xml					
File:City limit sign BiH - end.svg	skip	not a photo format: image/svg+xml					
File:Bosnian and Herzegovinan road sign III-131.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-137.svg	skip	not a photo format: image/svg+xml					
File:Drina Sa Denifine cigar pack wt Serb Cro Bos lg warn label.png	skip	too small: 386x466					
File:Direction sign BiH Autoput alt02.svg	skip	not a photo format: image/svg+xml					
File:Two way road.jpg	skip	too small: 221x179					
File:BA road sign III-103.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-124.svg	skip	not a photo format: image/svg+xml					
File:BA road sign III-85.2.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-6.svg	skip	not a photo format: image/svg+xml					
File:Roadworks.jpg	skip	too small: 225x188					
File:BA road sign III-91.svg	skip	not a photo format: image/svg+xml					
File:Crossroad with minor road.jpg	skip	too small: 209x187					
File:BA road sign III-105.svg	skip	not a photo format: image/svg+xml					
File:Cigarette packet warning signs from Bosnia and Herzegovina.jpg	skip	too small: 241x350					
File:BA road sign III-106.svg	skip	not a photo format: image/svg+xml					
File:BA road sign IV-13.svg	skip	not a photo format: image/svg+xml					
File:Mandatory direction.jpg	skip	too small: 172x240					
File:Crossroad with minor roads.jpg	skip	too small: 227x189					
File:BA road sign III-89.svg	skip	not a photo format: image/svg+xml					
File:BA road sign II-2.svg	skip	not a photo format: image/svg+xml					
